Block;Mesohabitat;Grazer;Substrate;Meso_Grazer;Grazer_Substrate;Replication;ADMI;CPLA;EMIN;EVUL;EINC;EMER;EPER;FCAP;FCRA;GPAR;GLAG;GPUM;NANG;NCRY;NAMP;NPRA;PSUB_2;ULNA;HUCO;ESIL;SANG;FVAU;EMIN.2;EINT;ACS3;GPSE
1;Riffle;Absence;Rough;RiffleAbsence;AbsenceRough;C1;83;243;15;10;7;0;1;29;1;71;0;0;2;12;1;1;1;1;0;0;0;1;0;0;0;0
3;Riffle;Absence;Rough;RiffleAbsence;AbsenceRough;C2;17;222;0;10;2;0;0;23;0;202;0;0;0;4;1;1;0;0;0;0;0;1;0;0;0;0
5;Riffle;Absence;Rough;RiffleAbsence;AbsenceRough;C3;67;309;10;7;7;2;0;23;1;51;0;1;1;2;0;1;0;0;0;0;1;0;0;1;0;0
7;Riffle;Absence;Rough;RiffleAbsence;AbsenceRough;C4;44;269;0;2;5;8;1;35;1;99;2;3;3;5;0;3;0;4;0;0;0;6;0;0;0;0
9;Riffle;Absence;Rough;RiffleAbsence;AbsenceRough;C5;56;368;5;1;13;4;1;1;5;18;0;2;0;7;0;3;3;0;0;0;1;0;1;2;0;1
1;Riffle;Absence;Smooth;RiffleAbsence;AbsenceSmooth;D1;62;43;1;0;1;0;3;150;0;208;0;3;1;4;1;1;0;1;0;0;1;4;0;0;0;0
3;Riffle;Absence;Smooth;RiffleAbsence;AbsenceSmooth;D2;4;82;0;0;0;0;0;2;0;234;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
5;Riffle;Absence;Smooth;RiffleAbsence;AbsenceSmooth;D3;87;75;0;6;1;1;0;43;0;122;0;1;0;1;0;1;0;3;0;0;0;0;2;0;0;0
7;Riffle;Absence;Smooth;RiffleAbsence;AbsenceSmooth;D4;19;39;0;1;0;1;0;5;0;412;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
9;Riffle;Absence;Smooth;RiffleAbsence;AbsenceSmooth;D5;33;414;1;0;12;2;1;6;1;12;4;0;2;2;1;1;1;0;0;0;1;0;0;1;1;0
2;Pool;Presence;Rough;PoolPresence;PresenceRough;E1;87;316;2;0;0;0;3;10;1;24;2;2;5;4;2;8;0;0;0;0;0;0;1;0;13;0
4;Pool;Presence;Rough;PoolPresence;PresenceRough;E2;98;226;2;3;46;3;1;7;1;33;9;1;6;12;3;12;12;2;2;0;2;2;0;3;0;1
6;Pool;Presence;Rough;PoolPresence;PresenceRough;E3;97;313;4;3;12;1;0;10;2;6;4;0;7;13;4;2;0;0;2;1;1;0;0;0;10;0
8;Pool;Presence;Rough;PoolPresence;PresenceRough;E4;215;143;0;3;27;1;4;7;0;25;6;3;10;12;2;6;0;0;0;0;1;0;0;0;6;1
10;Pool;Presence;Rough;PoolPresence;PresenceRough;E5;117;334;1;0;4;0;3;4;1;7;1;0;7;9;1;5;0;0;0;0;0;0;0;1;4;0
2;Pool;Presence;Smooth;PoolPresence;PresenceSmooth;F1;21;373;0;0;31;0;1;8;1;20;12;1;6;8;0;1;6;0;1;0;0;0;0;0;0;0
4;Pool;Presence;Smooth;PoolPresence;PresenceSmooth;F2;7;311;1;1;110;2;0;2;0;29;2;2;2;4;0;1;0;3;0;0;2;0;10;0;0;1
6;Pool;Presence;Smooth;PoolPresence;PresenceSmooth;F3;14;443;0;0;23;3;1;2;0;3;1;1;0;2;1;0;3;0;1;1;0;0;0;0;1;0
8;Pool;Presence;Smooth;PoolPresence;PresenceSmooth;F4;94;206;0;0;131;0;1;1;0;25;3;0;4;3;4;5;2;1;1;0;0;0;0;0;0;4
10;Pool;Presence;Smooth;PoolPresence;PresenceSmooth;F5;11;474;1;0;5;0;1;0;0;2;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0
2;Pool;Absence;Rough;PoolAbsence;AbsenceRough;G1;103;272;0;0;18;2;1;13;1;17;6;0;14;16;8;1;0;0;0;3;2;1;1;1;6;0
4;Pool;Absence;Rough;PoolAbsence;AbsenceRough;G2;72;300;0;0;31;5;2;6;1;27;6;1;3;5;0;10;0;0;3;1;0;0;3;0;2;0
6;Pool;Absence;Rough;PoolAbsence;AbsenceRough;G3;132;301;0;1;9;0;0;4;1;2;5;0;7;11;2;3;0;1;2;0;0;0;3;1;3;1
8;Pool;Absence;Rough;PoolAbsence;AbsenceRough;G4;179;191;0;2;24;5;0;14;1;27;12;0;5;8;9;2;3;1;0;0;1;0;1;2;0;0
10;Pool;Absence;Rough;PoolAbsence;AbsenceRough;G5;95;334;1;2;8;0;1;8;1;8;1;0;2;12;3;5;0;0;0;0;1;0;0;1;9;1
2;Pool;Absence;Smooth;PoolAbsence;AbsenceSmooth;H1;58;315;0;3;18;0;1;11;1;14;8;1;12;16;7;8;7;1;0;0;3;0;0;1;7;0
4;Pool;Absence;Smooth;PoolAbsence;AbsenceSmooth;H2;25;375;0;0;1;0;0;6;2;9;16;0;2;2;0;1;1;3;0;1;0;0;1;0;1;1
6;Pool;Absence;Smooth;PoolAbsence;AbsenceSmooth;H3;50;393;2;0;13;2;0;6;2;4;0;1;3;1;6;0;0;0;0;1;0;0;3;0;3;4
8;Pool;Absence;Smooth;PoolAbsence;AbsenceSmooth;H4;82;174;1;0;57;0;0;17;1;68;20;1;7;11;11;5;0;8;2;2;2;2;1;0;1;10
10;Pool;Absence;Smooth;PoolAbsence;AbsenceSmooth;H5;26;447;2;1;4;0;1;1;0;3;0;0;3;5;1;1;1;0;0;0;0;0;1;0;0;0
