Block;Mesohabitat;Grazer;Substrate;Meso_Grazer;Grazer_Substrate;M_G_S;Replication;Richness_T;Richness_C_RA;Richness_R_RA;Richness_C_Fuzzy_I;Richness_C_Fuzzy_II;Richness_R_Fuzzy_I;Richness_R_Fuzzy_II;ACS1;ACS2;ACS3;ADMI;ADRO;APUS;BBRE;CPLA;CAMB;CBNA;DOVA;ENEO;EVUL;EMIN.1;EPER;ESIL;ENS1;ENS2;ENS3;EOS1;EBID;EBIL;EPIT;EPAR;ESUD;EINC;EINT;EMAJ;EMER;EMIN.2;EPYR;ERAB;EUS1;EUS2;EUS3;EUS4;EVEN;FCAP;FGRA;FVAU;FMES;FRS1;FJAV;FCRA;GELA;GPTF;GBRA;GAFF;GANG;GLUJ;GGRA;GHAW;GLAG;GPAR;GPSE;GPUM;GOS1;HAMP;HUCO;LEHU;LCOS;LGEO;LSIM;LUS1;MCIR;NANG;NCRY;NESC;NSP1;NAS2;NAMP;NCLA;NPAL;NIS1;NTER;NPRA;PACO;PBOR;PDIV;PPER;PIS1;PIS2;PIS3;PSUB.1;PVIR;PWIT;POVI;PLS1;PLS2;PSUB.2;RGIB;SREC;SDEN;SANC;SPHO;STEN;SPLA;SANG;SSPL;ULNA
1;Riffle;Absence;Rough;RiffleAbsence;AbsenceRough;RiffleAbsenceRough;C1;24;16;8;16;13;8;11;3;0;0;83;0;0;0;243;0;0;0;0;10;15;1;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;29;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;71;0;0;0;0;0;0;0;0;0;0;0;2;12;1;1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;12;0;1;0;0;1;0;0;0;0;0;0;1
3;Riffle;Absence;Rough;RiffleAbsence;AbsenceRough;RiffleAbsenceRough;C2;13;10;3;10;9;3;4;0;0;0;17;0;0;0;222;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;23;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;202;0;0;0;1;0;0;0;0;0;0;0;0;4;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0
5;Riffle;Absence;Rough;RiffleAbsence;AbsenceRough;RiffleAbsenceRough;C3;22;16;6;15;13;7;9;0;0;0;67;0;0;0;309;0;0;0;0;7;10;0;0;0;0;0;0;0;0;0;0;0;7;1;0;2;0;0;0;0;0;0;0;0;23;0;0;3;1;0;1;0;0;0;1;1;0;1;0;0;51;0;1;0;0;0;0;0;0;1;0;0;1;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;1;0;0
7;Riffle;Absence;Rough;RiffleAbsence;AbsenceRough;RiffleAbsenceRough;C4;22;16;6;16;14;6;8;0;0;0;44;1;0;0;269;0;0;0;2;2;0;1;0;0;0;0;0;0;0;0;0;2;5;0;0;8;0;0;0;0;0;0;0;0;35;0;6;0;0;0;1;0;0;1;0;2;0;0;0;2;99;0;3;0;0;0;0;0;0;0;0;0;3;5;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4
9;Riffle;Absence;Rough;RiffleAbsence;AbsenceRough;RiffleAbsenceRough;C5;24;17;7;18;13;6;11;0;0;0;56;0;1;0;368;0;0;0;0;1;5;1;0;0;0;0;0;0;0;0;0;0;13;2;0;4;1;0;0;1;0;0;0;2;1;0;0;0;0;0;5;0;0;2;0;0;0;1;0;0;18;1;2;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;1;0;0
1;Riffle;Absence;Smooth;RiffleAbsence;AbsenceSmooth;RiffleAbsenceSmooth;D1;25;16;9;15;12;10;13;0;0;0;62;0;0;0;43;0;0;0;5;0;1;3;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;150;2;4;0;0;0;0;0;0;0;1;0;0;12;0;0;208;0;3;1;0;0;0;0;0;0;0;0;1;4;0;0;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1
3;Riffle;Absence;Smooth;RiffleAbsence;AbsenceSmooth;RiffleAbsenceSmooth;D2;7;6;1;5;5;2;2;0;0;0;4;0;0;0;82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;187;0;0;0;0;234;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;Riffle;Absence;Smooth;RiffleAbsence;AbsenceSmooth;RiffleAbsenceSmooth;D3;20;14;6;12;10;8;10;0;0;0;87;0;0;0;75;0;0;0;0;6;0;0;0;0;0;0;17;0;0;0;0;2;1;0;0;1;2;0;0;0;0;0;1;1;43;11;0;5;0;0;0;0;0;0;0;129;0;0;0;0;122;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
7;Riffle;Absence;Smooth;RiffleAbsence;AbsenceSmooth;RiffleAbsenceSmooth;D4;11;8;3;7;7;4;4;0;0;0;19;0;0;0;39;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;5;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;412;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;Riffle;Absence;Smooth;RiffleAbsence;AbsenceSmooth;RiffleAbsenceSmooth;D5;19;16;3;18;14;1;5;0;0;1;33;3;0;0;414;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;12;1;0;2;0;0;0;0;0;0;0;0;6;0;0;0;0;0;1;0;0;0;0;0;0;0;0;4;12;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0
2;Pool;Presence;Rough;PoolPresence;PresenceRough;PoolPresenceRough;E1;21;15;6;15;13;6;8;0;1;13;87;0;0;0;316;0;0;0;0;0;2;3;0;0;0;0;5;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;10;0;0;4;0;0;1;0;0;0;0;0;0;0;0;2;24;0;2;0;0;0;0;1;0;0;0;0;5;4;0;0;0;2;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;Pool;Presence;Rough;PoolPresence;PresenceRough;PoolPresenceRough;E2;34;19;15;23;16;11;18;0;0;0;98;0;1;0;226;0;0;1;0;3;2;1;0;0;0;0;0;0;0;0;0;0;46;3;0;3;0;0;0;1;0;0;0;0;7;0;2;0;0;0;1;1;0;0;0;0;0;0;0;9;33;1;1;0;0;2;0;0;0;0;0;1;6;12;0;0;1;3;0;0;0;0;12;0;0;0;0;1;0;1;0;4;1;0;0;0;12;0;0;0;0;0;0;0;2;1;2
6;Pool;Presence;Rough;PoolPresence;PresenceRough;PoolPresenceRough;E3;24;16;8;18;14;6;10;0;0;10;97;0;0;0;313;0;0;0;0;3;4;0;1;0;0;0;1;0;0;0;0;1;12;0;0;1;0;0;1;0;0;0;0;0;10;0;0;0;0;0;2;0;0;1;0;0;0;0;0;4;6;0;0;0;0;2;0;0;0;1;0;0;7;13;0;0;0;4;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
8;Pool;Presence;Rough;PoolPresence;PresenceRough;PoolPresenceRough;E4;31;17;14;17;14;14;17;0;0;6;215;0;2;2;143;0;0;0;0;3;0;4;0;0;0;0;7;0;1;0;0;0;27;0;0;1;0;0;0;0;0;0;0;0;7;0;0;1;0;0;0;3;1;0;0;0;1;0;0;6;25;1;3;0;0;0;0;1;0;0;0;1;10;12;0;0;0;2;0;0;1;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;1;0;0
10;Pool;Presence;Rough;PoolPresence;PresenceRough;PoolPresenceRough;E5;21;15;6;15;13;6;8;0;0;4;117;0;0;0;334;0;0;0;0;0;1;3;0;0;0;1;0;0;0;0;0;0;4;1;1;0;0;0;0;0;0;0;1;1;4;0;0;0;0;0;1;0;0;1;0;0;0;1;0;1;7;0;0;0;0;0;0;0;0;0;0;0;7;9;0;0;0;1;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;Pool;Presence;Smooth;PoolPresence;PresenceSmooth;PoolPresenceSmooth;F1;19;13;6;14;12;5;7;0;0;0;21;1;0;0;373;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;31;0;0;0;0;0;0;1;0;0;0;0;8;0;0;0;0;0;1;0;0;0;0;0;0;0;0;12;20;0;1;0;0;1;0;0;0;3;0;0;6;8;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0
4;Pool;Presence;Smooth;PoolPresence;PresenceSmooth;PoolPresenceSmooth;F2;20;15;5;17;13;3;7;0;0;0;7;0;0;0;311;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;110;0;0;2;10;0;0;0;0;0;0;7;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;29;1;2;0;0;0;0;0;0;0;0;0;2;4;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;3
6;Pool;Presence;Smooth;PoolPresence;PresenceSmooth;PoolPresenceSmooth;F3;16;13;3;15;11;1;5;0;0;1;14;0;0;0;443;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;23;0;0;3;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;0;1;0;0;1;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0
8;Pool;Presence;Smooth;PoolPresence;PresenceSmooth;PoolPresenceSmooth;F4;24;14;10;15;11;9;13;0;0;0;94;0;0;0;206;0;0;0;0;0;0;1;0;0;0;0;0;0;5;0;0;1;131;0;0;0;0;0;3;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;25;4;0;0;0;1;1;0;0;1;0;0;4;3;0;0;0;4;0;0;0;1;5;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;1
10;Pool;Presence;Smooth;PoolPresence;PresenceSmooth;PoolPresenceSmooth;F5;11;9;2;9;9;2;2;0;0;0;11;0;0;0;474;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;Pool;Absence;Rough;PoolAbsence;AbsenceRough;PoolAbsenceRough;G1;23;15;8;19;13;4;10;0;0;6;103;0;0;1;272;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;18;1;0;2;1;0;0;0;0;0;0;0;13;0;1;0;0;0;1;0;0;0;0;0;0;2;0;6;17;0;0;0;0;0;0;0;0;0;0;0;14;16;0;0;0;8;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0
4;Pool;Absence;Rough;PoolAbsence;AbsenceRough;PoolAbsenceRough;G2;26;15;11;17;13;9;13;0;0;2;72;0;0;0;300;0;0;0;0;0;0;2;1;0;1;0;0;0;3;0;0;0;31;0;0;5;3;0;1;0;0;0;0;0;6;0;0;0;0;0;1;2;1;0;0;0;0;1;0;6;27;0;1;0;0;3;0;0;0;0;1;1;3;5;0;0;0;0;2;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;Pool;Absence;Rough;PoolAbsence;AbsenceRough;PoolAbsenceRough;G3;24;15;9;18;12;6;12;0;0;3;132;0;0;0;301;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;9;1;0;0;3;0;0;0;0;0;0;0;4;0;0;0;0;0;1;1;0;0;0;0;1;0;0;5;2;1;0;0;0;2;0;0;0;1;0;0;7;11;0;0;0;2;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1
8;Pool;Absence;Rough;PoolAbsence;AbsenceRough;PoolAbsenceRough;G4;28;15;13;18;13;10;15;0;0;0;179;0;0;0;191;1;1;0;0;2;0;0;0;0;0;0;0;1;1;0;0;0;24;2;0;5;1;0;0;0;0;0;0;2;14;0;0;0;0;1;1;0;0;0;0;0;0;0;0;12;27;0;0;0;0;0;0;0;0;1;0;0;5;8;0;0;0;9;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;1;1;1;1
10;Pool;Absence;Rough;PoolAbsence;AbsenceRough;PoolAbsenceRough;G5;22;16;6;18;14;4;8;0;0;9;95;0;1;0;334;0;0;1;0;2;1;1;0;0;0;0;0;0;2;0;0;0;8;1;0;0;0;0;0;0;0;0;0;1;8;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;8;1;0;0;0;0;0;0;0;0;0;0;2;12;0;0;0;3;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
2;Pool;Absence;Smooth;PoolAbsence;AbsenceSmooth;PoolAbsenceSmooth;H1;25;17;8;19;14;6;11;0;0;7;58;0;1;1;315;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;18;1;0;0;0;1;1;0;0;0;0;0;11;0;0;0;0;0;1;0;0;0;0;0;0;0;0;8;14;0;1;0;0;0;0;0;0;1;0;0;12;16;0;0;0;7;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;3;1;1
4;Pool;Absence;Smooth;PoolAbsence;AbsenceSmooth;PoolAbsenceSmooth;H2;19;14;5;16;10;3;9;0;0;1;25;0;0;0;375;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;1;0;0;0;1;0;2;0;0;0;0;0;6;0;0;0;0;0;2;1;0;0;0;0;0;0;0;16;9;1;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3
6;Pool;Absence;Smooth;PoolAbsence;AbsenceSmooth;PoolAbsenceSmooth;H3;21;14;7;16;12;5;9;0;0;3;50;0;2;0;393;0;0;0;0;0;2;0;1;0;0;0;0;0;1;0;0;0;13;0;0;2;3;0;0;0;0;0;0;1;6;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;4;1;0;0;0;0;0;0;0;0;0;3;1;0;0;0;6;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
8;Pool;Absence;Smooth;PoolAbsence;AbsenceSmooth;PoolAbsenceSmooth;H4;33;16;17;21;13;12;20;0;0;1;82;0;1;1;174;0;0;0;0;0;1;0;2;0;0;0;0;0;0;1;0;0;57;0;0;0;1;0;1;1;0;0;0;5;17;0;2;0;0;0;1;0;2;0;0;0;0;0;0;20;68;10;1;0;0;2;0;0;0;0;1;0;7;11;0;0;0;11;0;0;0;0;5;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;2;0;8
10;Pool;Absence;Smooth;PoolAbsence;AbsenceSmooth;PoolAbsenceSmooth;H5;17;14;3;14;12;3;5;0;0;0;26;0;0;0;447;0;0;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;4;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;1;0;0;0;3;5;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
